S.No,Type,Question,Question Image,Option a (Correct),Option b,Option c,Option d,
1,A,What is the answer when you Subtract 780 Crores from 8.5 Billion ?,,70 crores,7 billion,70 billion,Can not be determined,
2,A,What is the answer when you Subtract 780 Crores from 8.5 Billion ?,,70 crores,7 billion,70 billion,Can not be determined,
3,A,What is the answer when you Subtract 780 Crores from 8.5 Billion ?,,70 crores,7 billion,70 billion,Can not be determined,
4,A,What is the answer when you Subtract 780 Crores from 8.5 Billion ?,,70 crores,7 billion,70 billion,Can not be determined,
5,B,What is the value of this expression?,https://drive.google.com/open?id=1IOkUOhg28nteggw3DJEFIaPW7WNVrLS9,7,37,13,42,
6,B,What is the value of this expression?,https://drive.google.com/open?id=1IOkUOhg28nteggw3DJEFIaPW7WNVrLS9,7,37,13,42,
7,B,What is the value of this expression?,https://drive.google.com/open?id=1IOkUOhg28nteggw3DJEFIaPW7WNVrLS9,7,37,13,42,
8,B,What is the value of this expression?,https://drive.google.com/open?id=1IOkUOhg28nteggw3DJEFIaPW7WNVrLS9,7,37,13,42,
9,C,The hundredths model in the figure is shaded to represent multiplication of two numbers. Which equation can be represented by the shaded parts of the model?,https://drive.google.com/open?id=1DzxrhLGqkkzw6qFEnbVobmR2Hu83rKf3,0.8 x 0.4 = 0.32,80 x 40 = 3200,0.08 x 0.04 = 0.32,0.08 x 0.04 = 0.032,
10,C,The hundredths model in the figure is shaded to represent multiplication of two numbers. Which equation can be represented by the shaded parts of the model?,https://drive.google.com/open?id=1DzxrhLGqkkzw6qFEnbVobmR2Hu83rKf3,0.8 x 0.4 = 0.32,80 x 40 = 3200,0.08 x 0.04 = 0.32,0.08 x 0.04 = 0.032,
11,C,The hundredths model in the figure is shaded to represent multiplication of two numbers. Which equation can be represented by the shaded parts of the model?,https://drive.google.com/open?id=1DzxrhLGqkkzw6qFEnbVobmR2Hu83rKf3,0.8 x 0.4 = 0.32,80 x 40 = 3200,0.08 x 0.04 = 0.32,0.08 x 0.04 = 0.032,
12,C,The hundredths model in the figure is shaded to represent multiplication of two numbers. Which equation can be represented by the shaded parts of the model?,https://drive.google.com/open?id=1DzxrhLGqkkzw6qFEnbVobmR2Hu83rKf3,0.8 x 0.4 = 0.32,80 x 40 = 3200,0.08 x 0.04 = 0.32,0.08 x 0.04 = 0.032,
13,D,Mrs Sharma collected notebook paper from her students at the beginning of the school year. The model is shaded below to show the fraction of this notebook paper that Mrs Sharma used in each of the three months. What fraction of the notebook paper Mrs Sharma collected was used during these three months?,https://drive.google.com/open?id=1kAJCBW6j2_t_f4EN7N1ME-QpkE7iO5TS,7/8,3/8,3/14,1/8,
14,D,Mrs Sharma collected notebook paper from her students at the beginning of the school year. The model is shaded below to show the fraction of this notebook paper that Mrs Sharma used in each of the three months. What fraction of the notebook paper Mrs Sharma collected was used during these three months?,https://drive.google.com/open?id=1kAJCBW6j2_t_f4EN7N1ME-QpkE7iO5TS,7/8,3/8,3/14,1/8,
15,D,Mrs Sharma collected notebook paper from her students at the beginning of the school year. The model is shaded below to show the fraction of this notebook paper that Mrs Sharma used in each of the three months. What fraction of the notebook paper Mrs Sharma collected was used during these three months?,https://drive.google.com/open?id=1kAJCBW6j2_t_f4EN7N1ME-QpkE7iO5TS,7/8,3/8,3/14,1/8,
16,D,Mrs Sharma collected notebook paper from her students at the beginning of the school year. The model is shaded below to show the fraction of this notebook paper that Mrs Sharma used in each of the three months. What fraction of the notebook paper Mrs Sharma collected was used during these three months?,https://drive.google.com/open?id=1kAJCBW6j2_t_f4EN7N1ME-QpkE7iO5TS,7/8,3/8,3/14,1/8,
17,E,Find the Area and Perimeter of the below figure.,https://drive.google.com/open?id=1awLwF2u9b54XOmRKHNytGOUqijjN3hBD,"Area: 27, Perimeter: 24","Area: 24, Perimeter: 27","Area: 18, Perimeter: 36","Area: 36, Perimeter: 18",
18,E,Find the Area and Perimeter of the below figure.,https://drive.google.com/open?id=1awLwF2u9b54XOmRKHNytGOUqijjN3hBD,"Area: 27, Perimeter: 24","Area: 24, Perimeter: 27","Area: 18, Perimeter: 36","Area: 36, Perimeter: 18",
19,E,Find the Area and Perimeter of the below figure.,https://drive.google.com/open?id=1awLwF2u9b54XOmRKHNytGOUqijjN3hBD,"Area: 27, Perimeter: 24","Area: 24, Perimeter: 27","Area: 18, Perimeter: 36","Area: 36, Perimeter: 18",
20,E,Find the Area and Perimeter of the below figure.,https://drive.google.com/open?id=1awLwF2u9b54XOmRKHNytGOUqijjN3hBD,"Area: 27, Perimeter: 24","Area: 24, Perimeter: 27","Area: 18, Perimeter: 36","Area: 36, Perimeter: 18",
21,F,"Determine the expression that involves the angles x, y and z in the figure.",https://drive.google.com/file/d/0B1UBBfj0obqXM3NTdkUwV19rOUU/view,x + y + z = 180,xy + z = 180,xyz = 180,x + y + z = 360,
22,F,"Determine the expression that involves the angles x, y and z in the figure.",https://drive.google.com/file/d/0B1UBBfj0obqXM3NTdkUwV19rOUU/view,x + y + z = 180,xy + z = 180,xyz = 180,x + y + z = 360,
23,F,"Determine the expression that involves the angles x, y and z in the figure.",https://drive.google.com/file/d/0B1UBBfj0obqXM3NTdkUwV19rOUU/view,x + y + z = 180,xy + z = 180,xyz = 180,x + y + z = 360,
24,F,"Determine the expression that involves the angles x, y and z in the figure.",https://drive.google.com/file/d/0B1UBBfj0obqXM3NTdkUwV19rOUU/view,x + y + z = 180,xy + z = 180,xyz = 180,x + y + z = 360,
25,G,539 students went on an Educational trip. The teacher wants to separate them into equal groups. Find four different group size of students that teacher can use to separate them.,,77 ; 7 ; 11 ; 49,77 ; 8 ; 11 ; 49,79 ; 7 ; 11 ; 55,77 ; 7 ; 11 ; 49,
26,G,539 students went on an Educational trip. The teacher wants to separate them into equal groups. Find four different group size of students that teacher can use to separate them.,,77 ; 7 ; 11 ; 49,77 ; 8 ; 11 ; 49,79 ; 7 ; 11 ; 55,77 ; 7 ; 11 ; 49,
27,G,539 students went on an Educational trip. The teacher wants to separate them into equal groups. Find four different group size of students that teacher can use to separate them.,,77 ; 7 ; 11 ; 49,77 ; 8 ; 11 ; 49,79 ; 7 ; 11 ; 55,77 ; 7 ; 11 ; 49,
28,G,539 students went on an Educational trip. The teacher wants to separate them into equal groups. Find four different group size of students that teacher can use to separate them.,,77 ; 7 ; 11 ; 49,77 ; 8 ; 11 ; 49,79 ; 7 ; 11 ; 55,77 ; 7 ; 11 ; 49,
29,H,"Which two numbers are multiplied in this expression?4000 x 7 + 600 x 7 + 80 x 7 + 9 x 7",,4689 x 7,4680 x 9,4680 x 7,4600 x 9,
30,H,"Which two numbers are multiplied in this expression?4000 x 7 + 600 x 7 + 80 x 7 + 9 x 7",,4689 x 7,4680 x 9,4680 x 7,4600 x 9,
31,H,"Which two numbers are multiplied in this expression?4000 x 7 + 600 x 7 + 80 x 7 + 9 x 7",,4689 x 7,4680 x 9,4680 x 7,4600 x 9,
